Timestamp,Predicted Fault,Confidence,Health Score,Drift Status
2026-05-23 18:15:44,Fault 2,34.67%,65.3%,HIGH DRIFT

2026-05-23 18:15:44,Fault 8,26.00%,74.0%,HIGH DRIFT
2026-05-23 23:59:09,Fault 6,26.67%,73.3%,HIGH DRIFT
2026-05-24 02:34:43,Fault 6,24.00%,76.0%,HIGH DRIFT
2026-05-24 02:34:43,Fault 8,30.00%,70.0%,HIGH DRIFT
2026-05-24 02:34:44,Fault 6,22.67%,77.3%,HIGH DRIFT
2026-05-24 02:34:51,Fault 2,38.67%,61.3%,HIGH DRIFT
2026-05-24 02:34:51,Fault 17,32.67%,67.3%,HIGH DRIFT
2026-05-24 02:34:59,Fault 2,28.00%,72.0%,HIGH DRIFT
2026-05-24 02:35:02,Fault 8,34.67%,65.3%,HIGH DRIFT
2026-05-24 02:35:08,Fault 8,27.33%,72.7%,HIGH DRIFT
2026-05-24 02:35:11,Fault 2,26.00%,74.0%,HIGH DRIFT
2026-05-24 02:35:16,Fault 8,22.67%,77.3%,HIGH DRIFT
2026-05-24 02:35:16,Fault 8,38.00%,62.0%,HIGH DRIFT
2026-05-24 02:35:19,Fault 8,25.33%,74.7%,HIGH DRIFT
