faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,1.0,42,0.6129,3719.3,4527.0,8.9874,26.845,42.8,2788.4,75.957,120.4,0.30218,78.817,50.463,2715.1,23.18,49.0,3205.5,23.795,65.425,241.44,329.23,94.58,76.4,29.618,8.8736,29.469,6.7945,18.438,1.5804,28.95,13.44,28.279,1.3182,18.423,2.1918,4.6691,2.3168,0.031081,0.86156,0.092891,53.435,44.461,63.437,53.506,60.197,60.352,20.086,36.384,39.461,44.221,49.598,40.56,16.235
1,1.0,45,0.64342,3625.3,4538.9,8.8676,26.885,42.501,2799.9,76.632,120.43,0.2783,78.832,49.986,2727.0,26.267,49.71,3214.8,23.249,65.358,242.3,329.55,94.602,76.235,29.683,8.577,29.691,6.9868,18.322,1.6446,29.348,13.289,29.051,1.3187,18.847,2.1886,4.5021,2.1217,0.031081,0.86156,0.092891,53.435,44.461,62.845,54.22,63.051,58.072,20.824,33.542,38.06,45.863,49.629,41.686,17.589
1,1.0,118,0.75838,3663.5,4476.8,9.3447,26.998,42.529,2738.2,72.619,120.42,0.3566,79.708,49.535,2669.3,26.503,49.431,3125.8,22.413,72.081,391.77,353.93,93.959,77.926,33.278,8.8611,25.966,6.5874,17.791,1.6613,34.301,13.885,23.648,1.1923,17.492,2.371,4.7997,2.2788,0.016534,0.75238,0.081973,53.241,44.223,63.444,53.28,74.678,60.75,25.211,40.88,36.731,45.218,99.597,42.895,19.416
1,1.0,120,0.70666,3708.8,4487.3,9.2894,26.873,42.591,2748.7,73.304,120.44,0.34965,79.661,50.622,2681.0,22.899,49.665,3133.9,21.576,72.074,393.41,354.81,93.759,77.798,33.686,8.7085,26.031,6.7599,17.385,1.6683,34.258,13.806,23.42,1.1532,17.077,2.2912,4.7616,2.2922,0.016534,0.75238,0.081973,53.241,44.223,64.049,53.62,69.285,59.912,25.926,39.93,39.93,45.758,99.706,43.668,21.334
1,1.0,212,0.62987,3715.2,4500.5,9.0882,26.932,42.475,2727.7,74.29,120.37,0.32381,79.404,49.753,2658.7,25.181,51.208,3114.8,23.427,70.518,344.93,352.22,94.214,77.832,32.879,8.7366,26.279,6.6233,18.065,1.7085,34.215,13.617,23.953,1.0669,17.297,2.3372,4.8214,2.2346,0.0037412,0.72191,0.088026,53.572,44.453,63.311,54.155,61.919,61.566,25.039,38.038,37.374,49.33,82.009,41.708,16.689
1,1.0,257,0.82414,3642.2,4426.2,8.6213,27.11,42.446,2687.7,75.853,120.4,0.32254,80.493,50.862,2614.2,25.323,53.09,3091.8,22.611,66.991,241.33,333.19,95.039,76.978,31.625,8.8695,26.396,6.9904,19.658,1.6611,31.619,13.811,24.006,1.1887,19.694,2.299,4.9567,2.3101,0.017123,0.89547,0.10479,55.111,44.476,62.986,52.942,81.278,56.792,20.297,39.532,40.635,53.685,51.753,40.294,19.034
1,1.0,322,0.73166,3660.0,4495.2,8.8212,27.054,41.907,2723.8,74.506,120.41,0.31644,79.787,51.03,2653.0,25.179,50.916,3116.2,23.037,67.246,255.67,343.81,94.518,77.673,32.526,8.8021,26.618,6.9072,18.219,1.6701,33.188,13.804,24.261,1.191,18.085,2.2961,4.7575,2.3166,0.018903,0.78607,0.10004,53.979,43.738,63.374,54.613,71.687,57.218,23.456,36.913,41.131,48.654,54.589,41.394,17.795
1,1.0,330,0.69663,3711.2,4501.1,8.7717,26.813,42.191,2713.2,75.78,120.38,0.30991,79.847,49.825,2642.2,24.743,49.754,3110.6,22.543,66.779,239.09,341.26,94.657,77.17,31.997,8.8046,26.383,6.7028,18.291,1.6826,33.021,13.759,24.955,1.1394,18.437,2.3166,4.8442,2.2037,0.0069021,0.80958,0.088844,54.354,44.259,63.389,54.869,68.511,57.032,22.223,36.485,37.585,45.965,50.677,40.487,19.031
1,1.0,352,0.81186,3635.6,4526.7,8.7437,26.744,41.927,2700.2,74.789,120.43,0.30222,80.707,51.301,2629.0,24.278,50.21,3100.2,21.837,66.904,244.88,337.03,94.73,77.686,31.378,9.1239,26.044,6.9002,19.051,1.7397,32.219,13.893,24.018,1.274,19.015,2.326,4.9216,2.2942,-0.0056523,0.9077,0.1113,54.715,43.984,62.76,53.259,79.767,56.799,21.308,36.714,41.929,47.02,52.616,41.128,20.777
1,1.0,392,0.72835,3710.9,4469.4,8.8236,26.733,42.289,2702.0,74.565,120.4,0.3318,80.051,51.98,2631.6,24.97,50.621,3095.7,23.609,68.912,297.52,344.58,94.465,77.293,32.762,8.8011,26.052,6.9732,18.276,1.7042,33.891,13.86,23.757,1.1536,18.711,2.3471,4.9102,2.3176,0.018872,0.81088,0.11681,53.911,43.247,63.523,53.579,71.596,58.694,22.803,38.514,43.926,47.972,67.483,41.817,16.474
1,1.0,401,0.72904,3674.1,4611.3,8.9224,27.179,42.461,2708.7,75.506,120.4,0.31665,80.103,51.256,2638.2,24.567,50.347,3104.3,22.029,68.851,292.86,343.62,94.573,77.287,32.093,9.0424,26.701,6.8871,18.245,1.6818,33.811,13.921,23.547,1.2118,17.837,2.345,4.8456,2.2277,0.0062738,0.80771,0.10325,53.692,43.464,62.372,54.273,71.687,57.746,22.706,37.279,41.795,47.337,66.124,41.172,20.178
1,2.0,216,0.71673,3670.4,4572.2,9.0696,26.874,42.582,2734.4,74.592,120.41,0.31291,79.67,48.517,2665.2,23.286,48.788,3120.8,23.263,69.854,325.21,351.72,94.359,77.835,33.286,8.6234,26.652,6.8361,17.779,1.6968,34.719,13.62,24.002,1.1932,17.985,2.2788,4.8289,2.2914,0.024397,0.73976,0.092153,54.019,44.103,62.476,53.532,69.926,58.203,25.142,35.464,33.737,43.73,75.592,42.008,17.113
1,2.0,289,0.74651,3606.8,4490.9,9.0938,26.808,42.331,2711.1,74.005,120.41,0.33445,80.254,49.752,2640.9,26.611,48.673,3105.3,21.993,68.655,292.85,345.36,94.463,77.783,32.261,8.801,25.804,6.9317,18.783,1.708,33.542,13.723,23.727,1.3216,17.988,2.3098,4.9546,2.3878,0.034218,0.83464,0.10203,52.861,43.26,62.577,53.483,73.116,60.36,23.187,39.504,37.37,43.462,66.08,41.745,20.231
1,2.0,291,0.77266,3604.8,4435.0,8.9615,26.93,42.648,2717.5,74.689,120.41,0.30775,79.843,50.19,2647.1,26.604,51.517,3109.2,22.459,68.611,292.88,346.55,94.562,77.583,32.852,8.8854,26.238,6.7476,18.6,1.6942,33.701,13.898,24.258,1.2036,18.136,2.3327,4.9777,2.2252,0.020411,0.8161,0.088508,53.698,44.134,62.865,53.303,75.709,58.674,23.684,36.522,38.66,50.045,66.135,42.284,19.154
1,2.0,296,0.72675,3722.4,4480.8,9.0584,27.154,42.299,2729.3,74.239,120.39,0.3044,79.61,50.104,2659.1,23.281,50.547,3121.6,23.283,68.524,294.3,348.17,94.286,77.42,32.501,8.9648,26.634,6.6479,18.231,1.6654,33.828,13.9,24.312,1.0725,18.202,2.3387,4.8087,2.3107,0.017608,0.79318,0.11822,53.675,42.84,62.978,53.772,71.524,59.36,24.069,35.512,38.406,47.801,65.871,42.286,17.17
1,2.0,372,0.78696,3723.5,4460.8,8.9338,27.117,42.55,2688.8,74.338,120.42,0.36202,80.525,49.609,2617.8,23.369,51.021,3086.1,23.898,68.856,292.02,342.54,94.374,77.579,32.52,8.9989,25.547,6.7805,18.832,1.7352,33.159,13.995,23.315,1.2756,18.828,2.359,5.0165,2.344,0.011282,0.82513,0.089818,53.618,43.279,63.311,52.988,77.588,59.589,22.212,41.969,36.948,48.897,65.665,41.978,15.716
1,2.0,429,0.76814,3635.1,4470.8,8.8029,26.889,42.456,2697.5,75.24,120.4,0.31138,80.243,50.118,2625.6,26.66,49.525,3098.8,22.794,66.164,224.71,336.24,95.008,77.553,31.092,8.9206,26.899,6.917,19.204,1.6924,31.92,13.748,24.119,1.3298,19.046,2.3118,4.9393,2.3398,0.0061922,0.87373,0.097783,54.374,43.421,62.241,53.604,75.275,57.831,21.111,37.301,38.447,45.434,46.726,40.382,18.469
1,2.0,437,0.81467,3662.1,4490.0,8.7313,26.839,42.519,2693.3,75.017,120.42,0.30449,80.457,48.344,2620.3,23.564,50.187,3095.2,22.551,66.496,231.91,336.08,94.654,77.369,31.306,8.7468,26.083,6.9263,19.754,1.7289,32.265,13.803,24.108,1.451,19.478,2.3313,4.9256,2.3367,0.022523,0.89494,0.10143,54.763,44.147,63.895,53.145,79.856,57.503,20.866,35.885,33.226,46.966,49.421,41.273,19.064
1,2.0,455,0.81402,3638.0,4412.5,8.8048,26.94,42.218,2692.7,75.155,120.41,0.32948,80.677,49.206,2621.7,24.843,48.438,3090.4,22.904,67.896,269.74,339.84,94.665,77.698,32.607,8.7664,26.068,6.9687,18.717,1.7317,32.741,13.94,23.327,1.316,19.121,2.3971,5.0064,2.2638,0.032601,0.89501,0.10577,53.597,42.911,62.081,52.717,79.909,58.906,21.843,39.231,35.762,42.919,59.339,41.254,18.147
1,2.0,465,0.75739,3659.8,4516.9,9.0441,26.814,42.704,2699.7,74.227,120.42,0.33112,80.587,49.831,2629.3,25.022,49.771,3095.2,21.887,68.416,284.6,342.32,94.605,78.169,32.396,8.9612,26.092,6.8353,18.701,1.7092,33.585,13.738,23.567,1.1596,18.188,2.2877,4.8868,2.3853,0.013193,0.85665,0.093314,53.564,43.528,63.356,53.027,74.34,58.674,22.588,39.292,37.601,46.004,64.171,41.439,20.497
1,3.0,28,0.29383,3641.5,4533.9,9.3428,26.64,42.226,2737.6,74.941,120.41,0.35857,80.238,50.084,2663.8,24.005,50.151,3143.8,22.87,65.736,226.0,333.82,94.973,77.279,30.937,8.6981,27.765,7.0134,18.764,1.635,32.059,13.769,25.218,1.2581,18.42,2.2846,4.8534,2.3413,0.024637,0.83337,0.098588,53.222,43.557,62.288,53.437,28.713,63.753,20.715,43.588,38.346,46.884,46.859,40.968,18.174
1,3.0,55,0.78007,3684.4,4565.2,8.5734,26.852,41.993,2825.9,77.536,120.36,0.24329,77.209,50.165,2753.6,27.052,48.723,3233.6,23.195,64.19,244.71,332.84,94.712,75.659,29.695,8.5482,30.43,6.8627,18.324,1.5546,28.7,13.393,30.649,1.2998,17.707,2.1016,4.3048,1.9774,0.00099476,0.88559,0.10358,54.303,43.915,62.67,55.064,76.733,58.65,22.46,29.176,38.586,43.578,47.681,40.009,18.228
1,3.0,102,0.86994,3652.6,4320.4,8.8167,27.028,42.695,2654.2,72.134,120.43,0.37221,80.858,49.867,2580.0,25.17,49.191,3060.5,22.818,72.721,384.67,334.6,94.559,77.164,31.972,9.0825,24.72,6.9153,19.578,1.7375,32.427,14.359,22.036,1.3341,20.825,2.3475,5.0417,2.3297,0.018565,0.87545,0.09459,53.535,43.498,63.038,51.309,85.554,57.481,19.016,44.986,37.71,44.662,100.1,41.324,19.127
1,3.0,110,0.83224,3666.8,4327.2,9.1649,26.603,42.699,2684.6,72.562,120.43,0.36473,80.746,49.766,2614.2,26.326,50.618,3080.9,22.728,72.511,388.84,345.32,94.213,78.004,32.915,9.1678,25.206,6.9048,19.386,1.6765,33.954,14.159,21.691,1.0967,19.265,2.3664,5.0512,2.436,0.03927,0.83243,0.09977,54.227,44.948,62.777,52.049,82.028,59.654,22.251,43.007,37.412,47.964,99.939,42.225,18.981
1,3.0,117,0.78345,3705.5,4452.3,9.3168,26.804,42.67,2718.9,72.198,120.44,0.36116,80.025,50.08,2649.9,25.727,48.797,3107.8,22.95,72.268,391.99,353.06,94.029,77.469,33.712,8.9601,25.388,6.8138,18.248,1.7079,34.434,14.17,22.693,1.1291,17.936,2.3166,5.0461,2.3783,0.015076,0.74348,0.089714,53.355,43.909,63.232,52.818,77.459,61.606,24.675,42.19,38.335,43.751,99.468,42.772,18.218
1,3.0,183,0.92945,3620.0,4283.9,8.7501,27.292,42.559,2647.5,74.332,120.41,0.34692,81.473,52.037,2572.2,26.065,51.467,3059.4,22.358,70.187,311.25,328.11,94.938,77.261,31.752,9.0394,24.746,6.958,20.658,1.7591,31.664,14.085,21.472,1.3391,20.428,2.372,5.1279,2.3672,0.013745,0.92746,0.10253,54.49,42.64,62.444,51.4,91.157,56.179,18.336,42.041,44.094,49.928,74.159,40.223,19.712
1,3.0,186,0.88042,3628.7,4262.9,8.7104,26.784,42.7,2651.8,73.519,120.41,0.35099,81.671,49.613,2578.0,24.62,50.836,3060.2,22.873,70.433,318.57,331.59,94.707,77.647,31.806,9.2432,24.846,6.8035,20.394,1.6699,32.82,13.908,21.754,1.5269,20.349,2.3542,5.151,2.4373,0.00067418,0.89966,0.095079,55.351,43.702,62.203,50.985,86.691,57.937,18.694,43.821,36.96,48.47,77.112,40.041,18.392
1,3.0,190,0.80258,3574.9,4331.7,8.8014,27.031,42.537,2654.0,73.208,120.37,0.36278,81.061,48.915,2580.0,25.509,50.334,3057.4,22.425,70.672,333.11,335.56,94.802,77.497,31.993,8.9498,25.114,6.6956,19.757,1.7055,32.652,14.06,21.412,1.4145,20.462,2.3908,5.1998,2.4817,0.00067418,0.89966,0.095079,55.351,43.702,62.704,51.185,79.408,59.565,19.613,43.676,34.908,47.307,80.771,40.022,19.441
1,3.0,198,0.80339,3623.5,4361.1,9.1824,27.049,42.46,2683.5,72.204,120.4,0.35937,81.144,49.023,2611.9,24.419,50.201,3080.5,22.007,71.227,347.45,343.66,94.369,78.249,32.421,8.9344,24.782,7.0387,19.105,1.7014,33.872,13.861,21.979,1.5185,18.874,2.3787,5.1761,2.4049,0.019362,0.81692,0.092955,52.637,42.779,62.773,51.447,78.846,59.653,21.958,43.548,35.226,46.999,85.473,41.654,20.167
1,3.0,399,0.67439,3676.4,4568.6,8.8908,26.717,42.712,2722.6,75.084,120.37,0.32522,79.574,50.996,2652.4,25.06,49.447,3112.7,22.666,67.623,268.78,346.28,94.498,77.42,32.908,8.587,26.768,6.8293,17.936,1.6914,33.627,13.815,24.349,1.208,17.918,2.3205,4.8988,2.2766,0.01822,0.79685,0.093079,53.857,43.85,63.429,54.149,66.31,57.612,23.7,37.885,41.031,45.254,58.313,40.944,18.638
1,3.0,412,0.69332,3759.2,4538.7,8.6174,27.277,42.23,2723.5,74.855,120.41,0.28247,79.68,49.634,2653.6,24.819,49.265,3119.4,22.472,67.111,255.13,343.52,94.181,77.065,32.453,8.7777,26.678,6.7455,18.101,1.7163,32.971,13.539,24.224,1.2672,17.597,2.2919,4.7721,2.2983,0.01643,0.80535,0.08946,53.609,43.668,64.62,54.508,68.036,60.272,23.334,33.335,37.022,44.833,54.036,41.092,19.142
1,3.0,417,0.74086,3641.6,4509.9,8.7066,26.945,42.25,2711.3,75.25,120.37,0.30688,79.726,51.765,2640.0,24.548,50.879,3107.2,23.627,66.893,247.05,340.83,94.748,77.075,31.831,8.6146,27.386,6.8829,18.703,1.6618,32.699,13.875,25.017,1.1665,17.858,2.3553,4.7789,2.2554,0.0022066,0.82119,0.092715,53.409,42.904,62.416,54.73,73.371,56.382,22.261,36.635,43.293,48.568,52.782,40.088,16.486
1,3.0,500,0.79716,3616.5,4534.9,8.6581,27.038,42.303,2701.3,75.699,120.36,0.32745,80.46,47.11,2629.8,25.22,50.538,3098.7,23.789,68.154,272.14,339.76,94.703,77.468,31.577,8.8618,25.809,6.9831,19.179,1.7109,32.481,13.983,23.902,1.4045,18.733,2.3377,4.9377,2.2417,0.013117,0.81666,0.10161,53.079,44.49,62.934,53.828,77.975,56.934,22.025,39.118,29.595,47.78,60.472,40.29,16.044
1,4.0,44,0.64221,3628.7,4438.6,8.9392,27.006,42.421,2811.1,76.6,120.42,0.27649,78.987,50.42,2737.6,23.978,50.382,3224.2,23.265,64.855,233.47,331.11,94.595,76.798,29.854,8.5989,29.787,6.8768,18.63,1.5983,29.206,13.426,28.825,1.3406,18.122,2.1532,4.4903,2.1281,0.021117,0.84431,0.089685,54.026,43.433,62.702,54.56,63.513,59.739,21.415,32.76,39.335,47.418,46.745,41.019,17.494
1,4.0,61,0.85292,3635.6,4479.9,8.395,26.767,41.931,2794.6,77.405,120.4,0.27996,77.862,49.499,2721.1,25.531,51.627,3203.1,22.443,65.356,264.44,329.55,94.964,75.832,29.503,8.5547,29.433,6.9938,19.005,1.5631,28.341,13.575,29.215,1.2576,18.575,2.1323,4.3875,2.0496,0.013247,0.96984,0.11313,53.958,44.154,63.163,53.616,83.551,56.417,21.302,33.578,36.626,50.3,54.633,39.81,20.171
1,4.0,136,0.63804,3700.3,4548.0,8.9434,27.0,42.376,2758.7,75.881,120.37,0.33723,79.0,49.694,2691.2,24.0,49.521,3139.7,21.975,70.987,366.69,354.75,94.014,77.426,33.675,8.7474,26.994,6.8008,17.177,1.6546,34.958,13.503,24.691,0.99198,16.87,2.2425,4.6929,2.3615,0.0097725,0.6661,0.083422,53.167,44.501,64.145,54.967,62.766,61.075,27.018,38.788,37.199,45.426,87.535,42.203,20.314
1,4.0,197,0.82555,3634.8,4427.8,9.0163,26.97,42.562,2691.7,73.489,120.4,0.36353,80.585,51.053,2620.6,25.174,50.051,3091.0,22.716,69.311,303.62,342.47,94.548,77.932,32.693,8.8931,25.437,6.9168,19.128,1.7063,33.588,14.074,22.376,1.361,18.707,2.2756,5.0254,2.4095,0.025555,0.82855,0.083187,54.782,43.363,61.904,52.743,81.222,58.884,21.831,43.117,41.198,46.653,69.755,41.678,18.524
1,4.0,205,0.72503,3745.1,4411.4,9.1773,26.964,42.728,2721.5,74.55,120.42,0.31634,79.978,50.317,2651.7,25.034,51.742,3114.0,22.521,69.22,306.98,348.66,94.182,77.661,32.836,8.665,26.26,6.6107,18.5,1.6855,33.637,13.614,23.65,1.2651,18.232,2.287,4.8543,2.3522,0.037506,0.80953,0.10707,53.55,43.348,64.167,53.359,71.173,60.23,23.822,36.712,39.034,50.565,70.656,42.167,18.914
1,4.0,354,0.83853,3674.0,4438.1,8.5951,27.0,42.368,2689.6,75.053,120.4,0.34175,80.422,49.983,2617.8,24.23,50.636,3090.6,23.929,67.598,259.68,339.01,94.508,77.401,32.034,9.0429,26.116,6.9104,19.005,1.7364,32.985,14.007,23.004,1.2968,19.027,2.3678,4.8957,2.2679,0.035424,0.87844,0.11458,53.185,43.96,63.319,53.833,82.334,59.134,21.231,40.772,38.05,48.007,56.576,40.948,15.774
1,4.0,442,0.77015,3659.9,4562.3,8.7534,26.759,42.604,2702.0,74.16,120.42,0.31013,80.111,50.746,2630.6,27.095,50.657,3100.5,21.867,67.324,254.57,340.21,94.625,76.973,32.574,8.7798,26.272,6.93,18.897,1.7005,32.816,13.631,24.478,1.234,18.124,2.3373,4.8365,2.3644,0.0078905,0.85221,0.091605,53.656,43.639,62.909,53.195,75.765,58.302,22.003,37.372,40.296,48.054,54.933,41.264,20.658
1,4.0,477,0.74893,3656.1,4483.3,8.6705,27.252,42.157,2698.9,74.83,120.42,0.32252,80.27,52.101,2626.8,24.21,50.546,3096.4,22.243,67.989,272.13,341.2,94.479,76.917,32.334,8.989,26.404,6.6149,18.644,1.7535,32.8,13.838,23.6,1.1654,18.56,2.3225,4.8734,2.3941,0.015945,0.84901,0.088618,53.957,44.361,63.133,53.753,73.411,58.381,22.033,38.229,44.284,47.797,60.722,42.171,19.76
1,4.0,495,0.74221,3709.2,4518.4,8.821,26.732,42.299,2703.9,74.067,120.42,0.3122,80.366,51.068,2633.6,23.903,50.149,3100.0,22.686,68.357,283.87,341.64,94.482,77.769,32.19,8.7507,26.441,6.9195,18.831,1.7009,33.178,13.73,24.184,1.1886,19.155,2.3423,4.7814,2.3121,0.017808,0.81721,0.1061,53.973,43.435,62.65,53.403,72.998,58.505,22.406,36.421,41.244,46.878,63.383,41.341,18.628
1,5.0,139,0.62958,3691.5,4660.8,8.979,26.83,41.838,2764.3,75.368,120.44,0.31648,79.156,50.007,2696.6,24.568,52.375,3145.1,23.094,70.329,343.22,353.33,94.016,77.919,33.205,8.7821,27.101,6.9557,17.349,1.6431,34.588,13.433,25.4,1.0697,16.467,2.2371,4.5117,2.2371,0.037225,0.66243,0.096013,53.674,44.043,63.833,55.27,61.768,57.979,26.736,35.975,38.121,52.031,81.062,43.188,17.497
1,5.0,158,0.72288,3640.4,4626.4,8.47,27.06,42.015,2721.5,77.07,120.39,0.30552,79.479,49.532,2651.0,23.015,48.59,3117.7,23.173,67.845,266.93,338.94,94.94,76.692,31.919,8.798,27.205,6.9371,18.837,1.6016,32.502,13.622,25.286,1.0384,18.28,2.2635,4.6209,2.1455,0.039174,0.77167,0.10629,54.733,43.972,63.165,55.056,71.439,54.597,22.697,36.092,36.721,43.271,57.29,40.604,17.662
1,5.0,194,0.85761,3667.6,4357.6,8.8732,27.039,42.49,2679.0,73.254,120.4,0.33025,80.777,50.112,2606.1,24.501,50.949,3082.5,22.803,69.182,300.21,337.82,94.465,77.747,32.101,9.0239,25.586,6.8015,18.964,1.7075,32.707,13.978,22.488,1.3613,19.801,2.3497,4.9879,2.3604,0.029174,0.89086,0.11972,53.718,43.943,62.903,53.235,84.406,57.236,20.677,39.47,38.431,48.73,69.83,41.512,18.509
1,5.0,236,0.71231,3621.6,4560.3,8.7891,27.18,42.385,2727.8,76.045,120.38,0.28687,79.827,50.226,2657.2,24.925,51.355,3119.0,23.014,68.033,270.59,344.26,94.92,76.927,32.339,8.709,26.635,6.89,18.021,1.7118,33.072,13.84,24.993,1.2738,18.447,2.2799,4.7066,2.286,0.019119,0.77208,0.11479,53.139,43.904,61.76,54.215,69.951,54.734,23.787,33.785,38.764,49.669,58.983,40.333,17.841
